word,length,difficulty
apart,5,Easy
apartment,9,Hard
apartments,10,Hard
apnic,5,Easy
apollo,6,Medium
apparatus,9,Hard
apparel,7,Medium
apparent,8,Medium
apparently,10,Hard
appeal,6,Medium
appeals,7,Medium
appear,6,Medium
appearance,10,Hard
appeared,8,Medium
appearing,9,Hard
appears,7,Medium
appendix,8,Medium
apple,5,Easy
appliance,9,Hard
appliances,10,Hard
applicable,10,Hard
applicant,9,Hard
applicants,10,Hard
application,11,Hard
applications,12,Hard
applied,7,Medium
applies,7,Medium
apply,5,Easy
applying,8,Medium
appointed,9,Hard
appointment,11,Hard
appointments,12,Hard
appraisal,9,Hard
appreciate,10,Hard
appreciated,11,Hard
appreciation,12,Hard
approach,8,Medium
approaches,10,Hard
appropriate,11,Hard
appropriations,14,Hard
approval,8,Medium
approve,7,Medium
approved,8,Medium
approx,6,Medium
approximate,11,Hard
approximately,13,Hard
april,5,Easy
aquarium,8,Medium
aquatic,7,Medium
arabia,6,Medium
arabic,6,Medium
arbitrary,9,Hard
arbitration,11,Hard
arcade,6,Medium
architect,9,Hard
architects,10,Hard
architectural,13,Hard
architecture,12,Hard
archive,7,Medium
archived,8,Medium
archives,8,Medium
arctic,6,Medium
areas,5,Easy
arena,5,Easy
argentina,9,Hard
argue,5,Easy
argued,6,Medium
argument,8,Medium
arguments,9,Hard
arise,5,Easy
arising,7,Medium
arizona,7,Medium
arkansas,8,Medium
arlington,9,Hard
armed,5,Easy
armenia,7,Medium
armor,5,Easy
armstrong,9,Hard
arnold,6,Medium
around,6,Medium
arrange,7,Medium
arranged,8,Medium
arrangement,11,Hard
arrangements,12,Hard
array,5,Easy
arrest,6,Medium
arrested,8,Medium
arrival,7,Medium
arrivals,8,Medium
arrive,6,Medium
arrived,7,Medium
arrives,7,Medium
arrow,5,Easy
arthritis,9,Hard
arthur,6,Medium
article,7,Medium
articles,8,Medium
artificial,10,Hard
artist,6,Medium
artistic,8,Medium
artists,7,Medium
artwork,7,Medium
aruba,5,Easy
asbestos,8,Medium
ascii,5,Easy
ashley,6,Medium
asian,5,Easy
aside,5,Easy
asked,5,Easy
asking,6,Medium
aspect,6,Medium
aspects,7,Medium
aspnet,6,Medium
assault,7,Medium
assembled,9,Hard
assembly,8,Medium
assess,6,Medium
assessed,8,Medium
assessing,9,Hard
assessment,10,Hard
assessments,11,Hard
asset,5,Easy
assets,6,Medium
assign,6,Medium
assigned,8,Medium
assignment,10,Hard
assignments,11,Hard
assist,6,Medium
assistance,10,Hard
assistant,9,Hard
assisted,8,Medium
assists,7,Medium
associate,9,Hard
associated,10,Hard
associates,10,Hard
association,11,Hard
associations,12,Hard
assume,6,Medium
assumed,7,Medium
assumes,7,Medium
assuming,8,Medium
assumption,10,Hard
assumptions,11,Hard
assurance,9,Hard
assure,6,Medium
assured,7,Medium
asthma,6,Medium
astrology,9,Hard
astronomy,9,Hard
athens,6,Medium
athletes,8,Medium
athletic,8,Medium
athletics,9,Hard
atlanta,7,Medium
atlantic,8,Medium
atlas,5,Easy
atmosphere,10,Hard
atmospheric,11,Hard
atomic,6,Medium
attach,6,Medium
attached,8,Medium
attachment,10,Hard
attachments,11,Hard
attack,6,Medium
attacked,8,Medium
attacks,7,Medium
attempt,7,Medium
attempted,9,Hard
attempting,10,Hard
attempts,8,Medium
attend,6,Medium
attendance,10,Hard
attended,8,Medium
attending,9,Hard
attention,9,Hard
attitude,8,Medium
attitudes,9,Hard
attorney,8,Medium
attorneys,9,Hard
attract,7,Medium
attraction,10,Hard
attractions,11,Hard
attractive,10,Hard
attribute,9,Hard
attributes,10,Hard
auburn,6,Medium
auckland,8,Medium
auction,7,Medium
auctions,8,Medium
audience,8,Medium
audio,5,Easy
audit,5,Easy
auditor,7,Medium
august,6,Medium
aurora,6,Medium
austin,6,Medium
australia,9,Hard
australian,10,Hard
austria,7,Medium
authentic,9,Hard
authentication,14,Hard
author,6,Medium
authorities,11,Hard
authority,9,Hard
authorization,13,Hard
authorized,10,Hard
authors,7,Medium
automated,9,Hard
automatic,9,Hard
automatically,13,Hard
automation,10,Hard
automobile,10,Hard
automobiles,11,Hard
automotive,10,Hard
autos,5,Easy
autumn,6,Medium
availability,12,Hard
available,9,Hard
avatar,6,Medium
avenue,6,Medium
average,7,Medium
aviation,8,Medium
avoid,5,Easy
avoiding,8,Medium
award,5,Easy
awarded,7,Medium
awards,6,Medium
aware,5,Easy
awareness,9,Hard
awesome,7,Medium
awful,5,Easy
azerbaijan,10,Hard
babes,5,Easy
babies,6,Medium
bachelor,8,Medium
backed,6,Medium
background,10,Hard
backgrounds,11,Hard
backing,7,Medium
backup,6,Medium
bacon,5,Easy
bacteria,8,Medium
bacterial,9,Hard
badge,5,Easy
badly,5,Easy
baghdad,7,Medium
bahamas,7,Medium
bahrain,7,Medium
bailey,6,Medium
baker,5,Easy
baking,6,Medium
balance,7,Medium
balanced,8,Medium
ballet,6,Medium
balloon,7,Medium
ballot,6,Medium
balls,5,Easy
baltimore,9,Hard
banana,6,Medium
bands,5,Easy
bandwidth,9,Hard
bangbus,7,Medium
bangkok,7,Medium
bangladesh,10,Hard
banking,7,Medium
bankruptcy,10,Hard
banks,5,Easy
banned,6,Medium
banner,6,Medium
banners,7,Medium
baptist,7,Medium
barbados,8,Medium
barbara,7,Medium
barbie,6,Medium
barcelona,9,Hard
barely,6,Medium
bargain,7,Medium
bargains,8,Medium
barnes,6,Medium
barrel,6,Medium
barrier,7,Medium
barriers,8,Medium
barry,5,Easy
baseball,8,Medium
based,5,Easy
baseline,8,Medium
basement,8,Medium
basename,8,Medium
bases,5,Easy
basic,5,Easy
basically,9,Hard
basics,6,Medium
basin,5,Easy
basis,5,Easy
basket,6,Medium
basketball,10,Hard
baskets,7,Medium
batch,5,Easy
bathroom,8,Medium
bathrooms,9,Hard
baths,5,Easy
batman,6,Medium
batteries,9,Hard
battery,7,Medium
battle,6,Medium
battlefield,11,Hard
beach,5,Easy
beaches,7,Medium
beads,5,Easy
beans,5,Easy
bearing,7,Medium
bears,5,Easy
beast,5,Easy
beastality,10,Hard
beastiality,11,Hard
beatles,7,Medium
beats,5,Easy
beautiful,9,Hard
beautifully,11,Hard
beauty,6,Medium
beaver,6,Medium
became,6,Medium
because,7,Medium
become,6,Medium
becomes,7,Medium
becoming,8,Medium
bedding,7,Medium
bedford,7,Medium
bedroom,7,Medium
bedrooms,8,Medium
before,6,Medium
began,5,Easy
begin,5,Easy
beginner,8,Medium
beginners,9,Hard
beginning,9,Hard
begins,6,Medium
begun,5,Easy
behalf,6,Medium
behavior,8,Medium
behavioral,10,Hard
behaviour,9,Hard
behind,6,Medium
beijing,7,Medium
being,5,Easy
beings,6,Medium
belarus,7,Medium
belfast,7,Medium
belgium,7,Medium
belief,6,Medium
beliefs,7,Medium
believe,7,Medium
believed,8,Medium
believes,8,Medium
belize,6,Medium
belkin,6,Medium
belle,5,Easy
belly,5,Easy
belong,6,Medium
belongs,7,Medium
below,5,Easy
belts,5,Easy
bench,5,Easy
benchmark,9,Hard
beneath,7,Medium
beneficial,10,Hard
benefit,7,Medium
benefits,8,Medium
benjamin,8,Medium
bennett,7,Medium
berkeley,8,Medium
berlin,6,Medium
bermuda,7,Medium
bernard,7,Medium
berry,5,Easy
beside,6,Medium
besides,7,Medium
bestiality,10,Hard
bestsellers,11,Hard
better,6,Medium
betting,7,Medium
betty,5,Easy
between,7,Medium
beverage,8,Medium
beverages,9,Hard
beverly,7,Medium
beyond,6,Medium
bhutan,6,Medium
bible,5,Easy
biblical,8,Medium
bibliographic,13,Hard
bibliography,12,Hard
bicycle,7,Medium
bidder,6,Medium
bidding,7,Medium
bigger,6,Medium
biggest,7,Medium
bikes,5,Easy
bikini,6,Medium
billing,7,Medium
billion,7,Medium
bills,5,Easy
billy,5,Easy
binary,6,Medium
binding,7,Medium
bingo,5,Easy
biodiversity,12,Hard
biographies,11,Hard
biography,9,Hard
biological,10,Hard
biology,7,Medium
biotechnology,13,Hard
birds,5,Easy
birmingham,10,Hard
birth,5,Easy
birthday,8,Medium
bishop,6,Medium
bitch,5,Easy
bizarre,7,Medium
bizrate,7,Medium
black,5,Easy
blackberry,10,Hard
blackjack,9,Hard
blacks,6,Medium
blade,5,Easy
blades,6,Medium
blair,5,Easy
blake,5,Easy
blame,5,Easy
blank,5,Easy
blanket,7,Medium
blast,5,Easy
bleeding,8,Medium
blend,5,Easy
bless,5,Easy
blessed,7,Medium
blind,5,Easy
blink,5,Easy
block,5,Easy
blocked,7,Medium
blocking,8,Medium
blocks,6,Medium
blogger,7,Medium
bloggers,8,Medium
blogging,8,Medium
blogs,5,Easy
blond,5,Easy
blonde,6,Medium
blood,5,Easy
bloody,6,Medium
bloom,5,Easy
bloomberg,9,Hard
blowing,7,Medium
blowjob,7,Medium
blowjobs,8,Medium
blues,5,Easy
bluetooth,9,Hard
board,5,Easy
boards,6,Medium
boating,7,Medium
boats,5,Easy
bobby,5,Easy
bodies,6,Medium
bolivia,7,Medium
bondage,7,Medium
bonds,5,Easy
bones,5,Easy
bonus,5,Easy
boobs,5,Easy
booking,7,Medium
bookings,8,Medium
bookmark,8,Medium
bookmarks,9,Hard
books,5,Easy
bookstore,9,Hard
boolean,7,Medium
boost,5,Easy
booth,5,Easy
boots,5,Easy
booty,5,Easy
border,6,Medium
borders,7,Medium
bored,5,Easy
boring,6,Medium
borough,7,Medium
bosnia,6,Medium
boston,6,Medium
bother,6,Medium
botswana,8,Medium
bottle,6,Medium
bottles,7,Medium
bottom,6,Medium
bought,6,Medium
boulder,7,Medium
boulevard,9,Hard
bound,5,Easy
boundaries,10,Hard
boundary,8,Medium
bouquet,7,Medium
boutique,8,Medium
bowling,7,Medium
boxed,5,Easy
boxes,5,Easy
boxing,6,Medium
bracelet,8,Medium
bracelets,9,Hard
bracket,7,Medium
bradford,8,Medium
bradley,7,Medium
brain,5,Easy
brake,5,Easy
brakes,6,Medium
branch,6,Medium
branches,8,Medium
brand,5,Easy
brandon,7,Medium
brands,6,Medium
brass,5,Easy
brave,5,Easy
brazil,6,Medium
brazilian,9,Hard
breach,6,Medium
bread,5,Easy
break,5,Easy
breakdown,9,Hard
breakfast,9,Hard
breaking,8,Medium
breaks,6,Medium
breast,6,Medium
breasts,7,Medium
breath,6,Medium
breathing,9,Hard
breed,5,Easy
breeding,8,Medium
breeds,6,Medium
brian,5,Easy
brick,5,Easy
bridal,6,Medium
bride,5,Easy
bridge,6,Medium
bridges,7,Medium
brief,5,Easy
briefing,8,Medium
briefly,7,Medium
briefs,6,Medium
bright,6,Medium
brighton,8,Medium
brilliant,9,Hard
bring,5,Easy
bringing,8,Medium
brings,6,Medium
brisbane,8,Medium
bristol,7,Medium
britain,7,Medium
britannica,10,Hard
british,7,Medium
britney,7,Medium
broad,5,Easy
broadband,9,Hard
broadcast,9,Hard
broadcasting,12,Hard
broader,7,Medium
broadway,8,Medium
brochure,8,Medium
brochures,9,Hard
broke,5,Easy
broken,6,Medium
broker,6,Medium
brokers,7,Medium
bronze,6,Medium
brook,5,Easy
brooklyn,8,Medium
brooks,6,Medium
brother,7,Medium
brothers,8,Medium
brought,7,Medium
brown,5,Easy
browse,6,Medium
browser,7,Medium
browsers,8,Medium
browsing,8,Medium
bruce,5,Easy
brunei,6,Medium
brunette,8,Medium
brunswick,9,Hard
brush,5,Easy
brussels,8,Medium
brutal,6,Medium
bryan,5,Easy
bryant,6,Medium
bubble,6,Medium
bucks,5,Easy
budapest,8,Medium
buddy,5,Easy
budget,6,Medium
budgets,7,Medium
buffalo,7,Medium
buffer,6,Medium
bufing,6,Medium
build,5,Easy
builder,7,Medium
builders,8,Medium
building,8,Medium
buildings,9,Hard
builds,6,Medium
built,5,Easy
bukkake,7,Medium
bulgaria,8,Medium
bulgarian,9,Hard
bullet,6,Medium
bulletin,8,Medium
bumper,6,Medium
bunch,5,Easy
bundle,6,Medium
bunny,5,Easy
burden,6,Medium
bureau,6,Medium
buried,6,Medium
burke,5,Easy
burlington,10,Hard
burner,6,Medium
burning,7,Medium
burns,5,Easy
burst,5,Easy
burton,6,Medium
buses,5,Easy
business,8,Medium
businesses,10,Hard
busty,5,Easy
butler,6,Medium
butter,6,Medium
butterfly,9,Hard
button,6,Medium
buttons,7,Medium
butts,5,Easy
buyer,5,Easy
buyers,6,Medium
buying,6,Medium
bytes,5,Easy
cabin,5,Easy
cabinet,7,Medium
cabinets,8,Medium
cable,5,Easy
cables,6,Medium
cache,5,Easy
cached,6,Medium
cadillac,8,Medium
cakes,5,Easy
calcium,7,Medium
calculate,9,Hard
calculated,10,Hard
calculation,11,Hard
calculations,12,Hard
calculator,10,Hard
calculators,11,Hard
calendar,8,Medium
calendars,9,Hard
calgary,7,Medium
calibration,11,Hard
calif,5,Easy
california,10,Hard
called,6,Medium
calling,7,Medium
calls,5,Easy
calvin,6,Medium
cambodia,8,Medium
cambridge,9,Hard
camcorder,9,Hard
camcorders,10,Hard
camel,5,Easy
camera,6,Medium
cameras,7,Medium
cameron,7,Medium
cameroon,8,Medium
campaign,8,Medium
campaigns,9,Hard
campbell,8,Medium
camping,7,Medium
camps,5,Easy
campus,6,Medium
canada,6,Medium
canadian,8,Medium
canal,5,Easy
canberra,8,Medium
cancel,6,Medium
cancellation,12,Hard
cancelled,9,Hard
cancer,6,Medium
candidate,9,Hard
candidates,10,Hard
candle,6,Medium
candles,7,Medium
candy,5,Easy
cannon,6,Medium
canon,5,Easy
canvas,6,Medium
canyon,6,Medium
capabilities,12,Hard
capability,10,Hard
capable,7,Medium
capacity,8,Medium
capital,7,Medium
capitol,7,Medium
captain,7,Medium
capture,7,Medium
captured,8,Medium
carbon,6,Medium
cardiac,7,Medium
cardiff,7,Medium
cardiovascular,14,Hard
cards,5,Easy
career,6,Medium
careers,7,Medium
careful,7,Medium
carefully,9,Hard
carey,5,Easy
cargo,5,Easy
caribbean,9,Hard
caring,6,Medium
carlo,5,Easy
carlos,6,Medium
carmen,6,Medium
carnival,8,Medium
carol,5,Easy
carolina,8,Medium
caroline,8,Medium
carpet,6,Medium
carried,7,Medium
carrier,7,Medium
carriers,8,Medium
carries,7,Medium
carroll,7,Medium
carry,5,Easy
carrying,8,Medium
carter,6,Medium
cartoon,7,Medium
cartoons,8,Medium
cartridge,9,Hard
cartridges,10,Hard
cases,5,Easy
casey,5,Easy
cashiers,8,Medium
casino,6,Medium
casinos,7,Medium
casio,5,Easy
cassette,8,Medium
casting,7,Medium
castle,6,Medium
casual,6,Medium
catalog,7,Medium
catalogs,8,Medium
catalogue,9,Hard
catalyst,8,Medium
catch,5,Easy
categories,10,Hard
category,8,Medium
catering,8,Medium
cathedral,9,Hard
catherine,9,Hard
catholic,8,Medium
cattle,6,Medium
caught,6,Medium
cause,5,Easy
caused,6,Medium
causes,6,Medium
causing,7,Medium
caution,7,Medium
cayman,6,Medium
cedar,5,Easy
ceiling,7,Medium
celebrate,9,Hard
celebration,11,Hard
celebrities,11,Hard
celebrity,9,Hard
celebs,6,Medium
cells,5,Easy
cellular,8,Medium
celtic,6,Medium
cement,6,Medium
cemetery,8,Medium
census,6,Medium
center,6,Medium
centered,8,Medium
centers,7,Medium
central,7,Medium
centre,6,Medium
centres,7,Medium
cents,5,Easy
centuries,9,Hard
century,7,Medium
ceramic,7,Medium
ceremony,8,Medium
certain,7,Medium
certainly,9,Hard
certificate,11,Hard
certificates,12,Hard
certification,13,Hard
certified,9,Hard
chain,5,Easy
chains,6,Medium
chair,5,Easy
chairman,8,Medium
chairs,6,Medium
challenge,9,Hard
challenged,10,Hard
challenges,10,Hard
challenging,11,Hard
chamber,7,Medium
chambers,8,Medium
champagne,9,Hard
champion,8,Medium
champions,9,Hard
championship,12,Hard
championships,13,Hard
chance,6,Medium
chancellor,10,Hard
chances,7,Medium
change,6,Medium
changed,7,Medium
changelog,9,Hard
changes,7,Medium
changing,8,Medium
channel,7,Medium
channels,8,Medium
chaos,5,Easy
chapel,6,Medium
chapter,7,Medium
chapters,8,Medium
character,9,Hard
characteristic,14,Hard
characteristics,15,Hard
characterization,16,Hard
characterized,13,Hard
characters,10,Hard
charge,6,Medium
charged,7,Medium
charger,7,Medium
chargers,8,Medium
charges,7,Medium
charging,8,Medium
charitable,10,Hard
charity,7,Medium
charles,7,Medium
charleston,10,Hard
charlie,7,Medium
charlotte,9,Hard
charm,5,Easy
charming,8,Medium
charms,6,Medium
chart,5,Easy
charter,7,Medium
charts,6,Medium
chase,5,Easy
chassis,7,Medium
cheap,5,Easy
cheaper,7,Medium
cheapest,8,Medium
cheat,5,Easy
cheats,6,Medium
check,5,Easy
checked,7,Medium
checking,8,Medium
checklist,9,Hard
checkout,8,Medium
checks,6,Medium
cheers,6,Medium
cheese,6,Medium
chelsea,7,Medium
chemical,8,Medium
chemicals,9,Hard
chemistry,9,Hard
cheque,6,Medium
cherry,6,Medium
chess,5,Easy
chest,5,Easy
chester,7,Medium
chevrolet,9,Hard
chevy,5,Easy
chicago,7,Medium
chick,5,Easy
chicken,7,Medium
chicks,6,Medium
chief,5,Easy
child,5,Easy
childhood,9,Hard
children,8,Medium
childrens,9,Hard
chile,5,Easy
china,5,Easy
chinese,7,Medium
chips,5,Easy
chocolate,9,Hard
choice,6,Medium
choices,7,Medium
choir,5,Easy
cholesterol,11,Hard
choose,6,Medium
choosing,8,Medium
chorus,6,Medium
chose,5,Easy
chosen,6,Medium
chris,5,Easy
christ,6,Medium
christian,9,Hard
christianity,12,Hard
christians,10,Hard
christina,9,Hard
christine,9,Hard
christmas,9,Hard
christopher,11,Hard
chrome,6,Medium
chronic,7,Medium
chronicle,9,Hard
chronicles,10,Hard
chrysler,8,Medium
chubby,6,Medium
chuck,5,Easy
church,6,Medium
churches,8,Medium
cialis,6,Medium
cigarette,9,Hard
cigarettes,10,Hard
cincinnati,10,Hard
cindy,5,Easy
cinema,6,Medium
cingular,8,Medium
circle,6,Medium
circles,7,Medium
circuit,7,Medium
circuits,8,Medium
circular,8,Medium
circulation,11,Hard
circumstances,13,Hard
circus,6,Medium
cisco,5,Easy
citation,8,Medium
citations,9,Hard
cited,5,Easy
cities,6,Medium
citizen,7,Medium
citizens,8,Medium
citizenship,11,Hard
citysearch,10,Hard
civic,5,Easy
civil,5,Easy
civilian,8,Medium
civilization,12,Hard
claim,5,Easy
claimed,7,Medium
claims,6,Medium
claire,6,Medium
clara,5,Easy
clarity,7,Medium
clark,5,Easy
clarke,6,Medium
class,5,Easy
classes,7,Medium
classic,7,Medium
classical,9,Hard
classics,8,Medium
classification,14,Hard
classified,10,Hard
classifieds,11,Hard
classroom,9,Hard
clause,6,Medium
clean,5,Easy
cleaner,7,Medium
cleaners,8,Medium
cleaning,8,Medium
cleanup,7,Medium
clear,5,Easy
clearance,9,Hard
cleared,7,Medium
clearing,8,Medium
clearly,7,Medium
clerk,5,Easy
cleveland,9,Hard
click,5,Easy
clicking,8,Medium
clicks,6,Medium
client,6,Medium
clients,7,Medium
cliff,5,Easy
climate,7,Medium
climb,5,Easy
climbing,8,Medium
clinic,6,Medium
clinical,8,Medium
clinics,7,Medium
clinton,7,Medium
clips,5,Easy
clock,5,Easy
clocks,6,Medium
clone,5,Easy
close,5,Easy
closed,6,Medium
closely,7,Medium
closer,6,Medium
closes,6,Medium
closest,7,Medium
closing,7,Medium
closure,7,Medium
cloth,5,Easy
clothes,7,Medium
clothing,8,Medium
cloud,5,Easy
clouds,6,Medium
cloudy,6,Medium
clubs,5,Easy
cluster,7,Medium
clusters,8,Medium
cnetcom,7,Medium
coach,5,Easy
coaches,7,Medium
coaching,8,Medium
coalition,9,Hard
coast,5,Easy
coastal,7,Medium
coated,6,Medium
coating,7,Medium
cocks,5,Easy
codes,5,Easy
coding,6,Medium
coffee,6,Medium
cognitive,9,Hard
cohen,5,Easy
coins,5,Easy
coleman,7,Medium
colin,5,Easy
collaboration,13,Hard
collaborative,13,Hard
collapse,8,Medium
collar,6,Medium
colleague,9,Hard
colleagues,10,Hard
collect,7,Medium
collectables,12,Hard
collected,9,Hard
collectible,11,Hard
collectibles,12,Hard
collecting,10,Hard
collection,10,Hard
collections,11,Hard
collective,10,Hard
collector,9,Hard
collectors,10,Hard
college,7,Medium
colleges,8,Medium
collins,7,Medium
cologne,7,Medium
colombia,8,Medium
colon,5,Easy
colonial,8,Medium
colony,6,Medium
color,5,Easy
colorado,8,Medium
colored,7,Medium
colors,6,Medium
colour,6,Medium
colours,7,Medium
columbia,8,Medium
columbus,8,Medium
column,6,Medium
columnists,10,Hard
columns,7,Medium
combat,6,Medium
combination,11,Hard
